,Unnamed: 0_x,Content ID,Reaction Type,Datetime,Unnamed: 0_y,Content Type,Category,Unnamed: 0,Sentiment,Score,Top 5 Category
0,1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:50,0,photo,Studying,2,negative,0,Other
1,2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22:51,0,photo,Studying,11,negative,10,Other
2,3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 05:13:58,0,photo,Studying,14,negative,15,Other
3,4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01,0,photo,Studying,2,negative,0,Other
4,5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25:58,0,photo,Studying,4,positive,30,Other
5,6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 06:27:54,0,photo,Studying,13,neutral,35,Other
6,7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35:49,0,photo,Studying,8,positive,70,Other
7,8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 08:32:09,0,photo,Studying,3,negative,5,Other
8,9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54:23,0,photo,Studying,13,neutral,35,Other
9,10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,2020-08-04 05:05:02,0,photo,Studying,6,positive,65,Other
10,11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 08:36:27,0,photo,Studying,5,neutral,20,Other
11,12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 06:28:53,0,photo,Studying,14,negative,15,Other
12,13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01 01:16:21,0,photo,Studying,4,positive,30,Other
13,14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07 18:39:08,0,photo,Studying,3,negative,5,Other
14,15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03 18:51:38,0,photo,Studying,14,negative,15,Other
15,16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24 05:09:23,0,photo,Studying,7,positive,75,Other
16,17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23 06:24:11,0,photo,Studying,13,neutral,35,Other
17,18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24 11:37:57,0,photo,Studying,5,neutral,20,Other
18,19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22 19:44:23,0,photo,Studying,4,positive,30,Other
19,20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2021-01-31 16:03:56,0,photo,Studying,12,positive,45,Other
20,21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20 17:26:23,0,photo,Studying,13,neutral,35,Other
21,22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11 20:47:13,0,photo,Studying,15,negative,12,Other
22,23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13 16:46:06,0,photo,Studying,10,positive,50,Other
23,24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11 14:29:59,0,photo,Studying,0,positive,60,Other
24,25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02 19:21:19,0,photo,Studying,15,negative,12,Other
25,26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27 18:44:39,0,photo,Studying,3,negative,5,Other
26,27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09 21:05:17,0,photo,Studying,3,negative,5,Other
27,28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04 23:58:42,0,photo,Studying,8,positive,70,Other
28,29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28 03:57:20,0,photo,Studying,7,positive,75,Other
29,30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2020-08-25 08:21:56,0,photo,Studying,12,positive,45,Other
30,31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20 23:48:12,0,photo,Studying,14,negative,15,Other
31,32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07 12:40:11,0,photo,Studying,4,positive,30,Other
32,33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24 03:21:13,0,photo,Studying,5,neutral,20,Other
33,34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24 11:03:43,0,photo,Studying,7,positive,75,Other
34,35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 02:46:20,0,photo,Studying,2,negative,0,Other
35,36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02 03:43:43,0,photo,Studying,7,positive,75,Other
36,37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04 03:06:12,0,photo,Studying,4,positive,30,Other
37,38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09 02:49:59,0,photo,Studying,11,negative,10,Other
38,39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29 16:00:27,0,photo,Studying,14,negative,15,Other
39,40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-29 21:33:04,0,photo,Studying,11,negative,10,Other
40,41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2021-02-13 07:54:01,0,photo,Studying,1,positive,70,Other
41,42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-07-14 05:28:44,0,photo,Studying,4,positive,30,Other
42,43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-08-23 10:30:37,0,photo,Studying,5,neutral,20,Other
43,44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-05-10 09:27:42,0,photo,Studying,15,negative,12,Other
44,45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-03-15 03:59:11,0,photo,Studying,3,negative,5,Other
45,47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,2020-06-25 17:01:58,1,photo,healthy eating,11,negative,10,healthy eating
46,48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,2020-09-13 00:11:50,1,photo,healthy eating,12,positive,45,healthy eating
47,49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 18:17:06,1,photo,healthy eating,13,neutral,35,healthy eating
48,50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2021-02-11 04:53:56,1,photo,healthy eating,14,negative,15,healthy eating
49,51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-03-08 10:40:53,1,photo,healthy eating,3,negative,5,healthy eating
50,52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:26,1,photo,healthy eating,2,negative,0,healthy eating
51,53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-05-25 01:00:28,1,photo,healthy eating,3,negative,5,healthy eating
52,54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-15 12:17:43,1,photo,healthy eating,10,positive,50,healthy eating
53,55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2021-05-05 16:26:43,1,photo,healthy eating,6,positive,65,healthy eating
54,56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-08-31 00:21:56,1,photo,healthy eating,6,positive,65,healthy eating
55,57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,2021-06-16 03:02:28,1,photo,healthy eating,0,positive,60,healthy eating
56,58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,2020-07-07 10:52:30,1,photo,healthy eating,5,neutral,20,healthy eating
57,59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 07:59:11,1,photo,healthy eating,13,neutral,35,healthy eating
58,60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-09-23 11:15:19,1,photo,healthy eating,6,positive,65,healthy eating
59,61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-24 05:56:19,1,photo,healthy eating,10,positive,50,healthy eating
60,63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-12-07 19:13:23,2,photo,healthy eating,3,negative,5,healthy eating
61,64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2020-08-03 16:41:04,2,photo,healthy eating,7,positive,75,healthy eating
62,65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2021-01-10 15:36:01,2,photo,healthy eating,9,positive,72,healthy eating
63,66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-09-20 08:48:13,2,photo,healthy eating,14,negative,15,healthy eating
